MyUnknownColumn,order_id,order_item_id,customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,seller_id,seller_city,seller_state,seller_zip_code_prefix,payment_type,payment_sequential,payment_installments,price,freight_value,payment_value,shipping_limit_date,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,day_of_purchase,month_of_purchase,year_of_purchase,month/year_of_purchase,order_status,order_unique_id
10,df2d910b8b5e5f461f67043489f9569d,1,2e76c1f2a920153d79cc98b634c50942,0efd4833752113fedce2e7250d49d5ac,53403,paulista,PE,4244733e06e7ecb4970a6e2683c13e61,cool_stuff,58,598,4,650,28,9,14,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,voucher,3,1,55.9,35.71,20,"2017-06-09 14:31:21","2017-06-05 12:22:19","2017-06-05 14:31:21","2017-06-07 13:09:07","2017-06-26 13:52:03","2017-07-06 00:00:00",Monday,June,2017,June-2017,delivered,df2d910b8b5e5f461f67043489f9569d-1
11,df2d910b8b5e5f461f67043489f9569d,1,2e76c1f2a920153d79cc98b634c50942,0efd4833752113fedce2e7250d49d5ac,53403,paulista,PE,4244733e06e7ecb4970a6e2683c13e61,cool_stuff,58,598,4,650,28,9,14,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,credit_card,1,1,55.9,35.71,51.61,"2017-06-09 14:31:21","2017-06-05 12:22:19","2017-06-05 14:31:21","2017-06-07 13:09:07","2017-06-26 13:52:03","2017-07-06 00:00:00",Monday,June,2017,June-2017,delivered,df2d910b8b5e5f461f67043489f9569d-1
12,0191bbb5166d4b9a68df11797d5acfa9,1,62b59a64eb786a96516229b7f3612c72,921fa6982e780da7d9e0bb6ca11b380c,93010,"sao leopoldo",RS,ec02a5d380128f7a188e9ce8f3ddd832,cool_stuff,59,599,2,2275,45,25,18,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,credit_card,1,4,132.9,20.17,153.07,"2017-08-16 12:30:15","2017-08-10 12:17:35","2017-08-10 12:30:15","2017-08-15 19:26:45","2017-08-24 18:15:16","2017-09-08 00:00:00",Thursday,August,2017,August-2017,delivered,0191bbb5166d4b9a68df11797d5acfa9-1
13,8a4df9820e049472302bf6362daecb8b,1,87f51a0f934f82e81d8680ef1afeaf48,89b88dc458d3997426620f99dd79c9c9,20031,"rio de janeiro",RJ,ec02a5d380128f7a188e9ce8f3ddd832,cool_stuff,59,599,2,2275,45,25,18,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,credit_card,1,3,125.9,12.84,138.74,"2017-08-11 13:03:05","2017-08-07 12:28:44","2017-08-07 13:03:05","2017-08-10 16:42:51","2017-08-11 20:16:50","2017-08-22 00:00:00",Monday,August,2017,August-2017,delivered,8a4df9820e049472302bf6362daecb8b-1
14,9bd5ab93fc163dd17a9d531c39806e05,1,35fd6066756cc7d4d5e5d456fecc8422,3d1d587a1f4c96dcc056a2a708bcadc5,13050,campinas,SP,ec02a5d380128f7a188e9ce8f3ddd832,cool_stuff,59,599,2,2275,45,25,18,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,credit_card,1,3,132.9,21.42,154.32,"2017-10-03 21:14:23","2017-09-27 21:06:52","2017-09-27 21:14:23","2017-10-04 15:22:41","2017-10-16 22:49:03","2017-10-23 00:00:00",Wednesday,September,2017,September-2017,delivered,9bd5ab93fc163dd17a9d531c39806e05-1
15,c0e6a4b9d9b4fb7364f6010863708cbd,1,a12b256adc8a574b2ef0bec1edaea319,9de8d8f634de6e6aef706a91280cd76a,63860,madalena,CE,ec02a5d380128f7a188e9ce8f3ddd832,cool_stuff,59,599,2,2275,45,25,18,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,credit_card,1,3,132.9,43.34,176.24,"2017-10-04 18:49:20","2017-09-28 18:30:29","2017-09-28 18:49:20","2017-10-04 14:04:26","2017-10-21 12:45:25","2017-11-01 00:00:00",Thursday,September,2017,September-2017,delivered,c0e6a4b9d9b4fb7364f6010863708cbd-1
16,d24633e7c227ea7a234d568eefb493a9,1,0831a589bfb84d7db1725b029edd19af,350bc664ce5aec909a6734a8d095c680,31910,"belo horizonte",MG,ec02a5d380128f7a188e9ce8f3ddd832,cool_stuff,59,599,2,2275,45,25,18,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,credit_card,1,3,132.9,21.42,154.32,"2017-09-28 00:24:40","2017-09-23 23:59:42","2017-09-24 00:24:40","2017-09-27 19:27:31","2017-10-04 22:14:47","2017-10-19 00:00:00",Saturday,September,2017,September-2017,delivered,d24633e7c227ea7a234d568eefb493a9-1
17,0188777fe321843a18be24a6e9aa1e53,1,dc573d2a61a467e5e2826c1729691859,f81c042ed0162a51b90372c233b4fbad,25240,"duque de caxias",RJ,436c8d57ff8d4aa254318e9bd9b48c83,cool_stuff,54,599,6,530,30,9,14,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,voucher,1,1,55.9,9.94,65.84,"2017-07-31 14:35:11","2017-07-23 16:13:37","2017-07-25 14:35:11","2017-07-27 18:45:50","2017-07-28 16:18:00","2017-08-08 00:00:00",Sunday,July,2017,July-2017,delivered,0188777fe321843a18be24a6e9aa1e53-1
18,d829ae9ca5e0a9749f2574b62eb7ac10,1,a64e11fc5ee980cd9a2f1ac08110bc44,575083d1c98ec2938a00cd179a40f3d2,45810,"porto seguro",BA,436c8d57ff8d4aa254318e9bd9b48c83,cool_stuff,54,599,6,530,30,9,14,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,boleto,1,1,55.9,27.99,167.51,"2017-07-19 02:56:03","2017-07-12 12:04:28","2017-07-13 02:56:03","2017-07-14 16:23:42","2017-08-07 17:27:41","2017-08-09 00:00:00",Wednesday,July,2017,July-2017,delivered,d829ae9ca5e0a9749f2574b62eb7ac10-1
19,d829ae9ca5e0a9749f2574b62eb7ac10,2,a64e11fc5ee980cd9a2f1ac08110bc44,575083d1c98ec2938a00cd179a40f3d2,45810,"porto seguro",BA,7f1a77bec0639e473392e91a504272a5,cool_stuff,57,605,4,575,30,11,17,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,boleto,1,1,55.9,27.72,167.51,"2017-07-19 02:56:03","2017-07-12 12:04:28","2017-07-13 02:56:03","2017-07-14 16:23:42","2017-08-07 17:27:41","2017-08-09 00:00:00",Wednesday,July,2017,July-2017,delivered,d829ae9ca5e0a9749f2574b62eb7ac10-2
20,03054d8a8eefc2981cfad06f58e27979,1,9bd2f246e81c19f65c539ce426288ef5,d46eb9ba6d6b75c1dac85b91911fc9c2,3560,"sao paulo",SP,3e31fd1419cc4cd6adad1925e72e3a03,cool_stuff,52,1170,1,400,25,10,11,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,credit_card,1,7,58.9,15.16,74.06,"2017-10-09 10:35:11","2017-10-02 10:25:22","2017-10-03 10:35:11","2017-10-09 17:57:50","2017-10-19 21:03:49","2017-10-25 00:00:00",Monday,October,2017,October-2017,delivered,03054d8a8eefc2981cfad06f58e27979-1
21,26ab105de6689a556ce3ab6932ee68e6,1,08ad76732d8c6428ac2fb9eea89ff342,8a423f7294c6e79cc5884ef518deda5c,23012,"rio de janeiro",RJ,3e31fd1419cc4cd6adad1925e72e3a03,cool_stuff,52,1170,1,400,25,10,11,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,credit_card,1,1,54.9,9.27,64.17,"2017-07-25 20:55:09","2017-07-19 20:42:33","2017-07-19 20:55:09","2017-07-21 17:15:57","2017-07-24 20:42:49","2017-08-03 00:00:00",Wednesday,July,2017,July-2017,delivered,26ab105de6689a556ce3ab6932ee68e6-1
22,7766424657aa0cfbf1703f9550144964,1,35b6b3b06cd4b2101cfabfb5429dc028,05105abc98016eb044d450d5e60de1b2,24060,niteroi,RJ,3e31fd1419cc4cd6adad1925e72e3a03,cool_stuff,52,1170,1,400,25,10,11,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,credit_card,1,2,55.9,9.27,65.17,"2017-08-14 11:43:36","2017-08-08 11:24:19","2017-08-08 11:43:36","2017-08-10 16:42:52","2017-08-11 20:21:56","2017-08-23 00:00:00",Tuesday,August,2017,August-2017,delivered,7766424657aa0cfbf1703f9550144964-1
23,a72c3152ab2259acdae64303a9a12efc,1,0a05250f6702d7949e237fa591546429,8d692a436fa634e911ebb1e69bb0f481,57601,"palmeira dos indios",AL,3e31fd1419cc4cd6adad1925e72e3a03,cool_stuff,52,1170,1,400,25,10,11,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,credit_card,1,3,58.9,34.21,93.11,"2017-09-12 20:55:20","2017-09-05 20:42:50","2017-09-05 20:55:20","2017-09-18 18:41:53","2017-09-30 13:08:17","2017-10-02 00:00:00",Tuesday,September,2017,September-2017,delivered,a72c3152ab2259acdae64303a9a12efc-1
24,a975758d17a9e095a496f4283d9c3aca,1,a90b67461a9b141f23f0b1fcb25a5639,1fab09edf6749cee5d6829be35daa13b,18276,tatui,SP,3e31fd1419cc4cd6adad1925e72e3a03,cool_stuff,52,1170,1,400,25,10,11,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,credit_card,1,3,55.9,15.14,71.04,"2017-08-09 15:50:18","2017-08-03 14:34:26","2017-08-03 15:50:18","2017-08-04 18:23:43","2017-08-16 21:10:54","2017-08-25 00:00:00",Thursday,August,2017,August-2017,delivered,a975758d17a9e095a496f4283d9c3aca-1
25,e243ea7648d08ca3d860047e7ec10a51,1,0201bb51c671f43f4e581e5c3fd5eb55,6a834ffa571a333c7e753a72967c3456,27943,macae,RJ,3e31fd1419cc4cd6adad1925e72e3a03,cool_stuff,52,1170,1,400,25,10,11,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,credit_card,1,3,54.9,12.38,67.28,"2017-06-26 10:15:11","2017-06-20 10:01:07","2017-06-20 10:15:11","2017-06-22 07:25:46","2017-06-26 13:33:08","2017-07-10 00:00:00",Tuesday,June,2017,June-2017,delivered,e243ea7648d08ca3d860047e7ec10a51-1
26,e3aa3b61037e281dedb26da2882983ae,1,6d096f880bc145f805c6db79ea988789,8b4f3f21f3fe735a4d85eded53ac5a9a,5012,"sao paulo",SP,3e31fd1419cc4cd6adad1925e72e3a03,cool_stuff,52,1170,1,400,25,10,11,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,credit_card,1,3,54.9,15.13,70.03,"2017-05-31 01:22:31","2017-05-25 00:27:30","2017-05-25 01:22:31","2017-05-30 14:44:18","2017-06-02 08:51:41","2017-06-19 00:00:00",Thursday,May,2017,May-2017,delivered,e3aa3b61037e281dedb26da2882983ae-1
27,38da3029219c1f40f3eaaae897430c3f,1,02565e515373d4e26cf406ab3fa5ed0b,728a6d33a49056c796fc4fc0481bf871,13347,indaiatuba,SP,2423252b2432f1803e4f29e0974c6cf7,brinquedos,60,919,5,1167,36,20,28,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,boleto,1,1,139.9,18.23,158.13,"2017-09-13 03:03:58","2017-09-05 07:54:09","2017-09-06 03:03:58","2017-09-13 17:13:04","2017-09-19 20:33:06","2017-09-27 00:00:00",Tuesday,September,2017,September-2017,delivered,38da3029219c1f40f3eaaae897430c3f-1
28,3c31094fbd7da6168cc190beedf23888,1,61011b38e0c96a6745cd20950babd60c,bf1a3ae0edc94deecb0de97109276623,95520,osorio,RS,2423252b2432f1803e4f29e0974c6cf7,brinquedos,60,919,5,1167,36,20,28,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,boleto,1,1,139.9,20.22,160.12,"2017-10-23 03:46:00","2017-10-16 15:39:28","2017-10-17 03:46:00","2017-10-23 18:50:06","2017-11-01 19:29:47","2017-11-08 00:00:00",Monday,October,2017,October-2017,delivered,3c31094fbd7da6168cc190beedf23888-1
29,4da38cd7084ce9fdeae2412858379255,1,4c6da7ab2ec98e80e7c2dbba28b57cda,61181b9bc9188678b5991d89064dd961,76970,"pimenta bueno",RO,2423252b2432f1803e4f29e0974c6cf7,brinquedos,60,919,5,1167,36,20,28,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,credit_card,1,10,139.9,38.53,178.43,"2017-10-18 01:32:21","2017-10-11 00:19:17","2017-10-11 00:56:24","2017-10-19 18:33:42","2017-11-08 20:31:49","2017-11-21 00:00:00",Wednesday,October,2017,October-2017,delivered,4da38cd7084ce9fdeae2412858379255-1
30,51bba23b6fd5b430636450f273aadd8a,1,f2fd5f74881dfb8d8fd5e0010a0b86f2,79c481d31d793a66a85f43af431eb745,75803,jatai,GO,2423252b2432f1803e4f29e0974c6cf7,brinquedos,60,919,5,1167,36,20,28,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,credit_card,1,3,139.9,20.22,160.12,"2017-10-09 15:35:07","2017-10-03 15:16:25","2017-10-03 15:36:59","2017-10-09 17:57:49","2017-10-30 21:41:18","2017-11-03 00:00:00",Tuesday,October,2017,October-2017,delivered,51bba23b6fd5b430636450f273aadd8a-1
31,686167f2fe956e81a6bbf02cf8885516,1,ebfd23469617d06d4537f338cdb39cd5,e1d4b9056c11d6abd64fbd00f406cbb8,22790,"rio de janeiro",RJ,2423252b2432f1803e4f29e0974c6cf7,brinquedos,60,919,5,1167,36,20,28,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,credit_card,1,10,139.9,12.93,152.83,"2017-11-03 16:05:59","2017-10-28 15:50:49","2017-10-28 16:05:59","2017-10-31 16:37:38","2017-11-01 18:04:16","2017-11-10 00:00:00",Saturday,October,2017,October-2017,delivered,686167f2fe956e81a6bbf02cf8885516-1
32,8fc1991bfbb78b4d939d11ffef79c398,1,d63ebc611617ecd6acb37f274224062d,51a030b5a150ea7b324b67773cbab8b8,42850,"dias d'avila",BA,2423252b2432f1803e4f29e0974c6cf7,brinquedos,60,919,5,1167,36,20,28,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,voucher,2,1,139.9,29.38,136.16,"2017-11-02 22:55:10","2017-10-26 22:41:09","2017-10-26 22:55:10","2017-10-31 16:37:36","2017-11-07 22:04:51","2017-11-22 00:00:00",Thursday,October,2017,October-2017,delivered,8fc1991bfbb78b4d939d11ffef79c398-1
33,8fc1991bfbb78b4d939d11ffef79c398,1,d63ebc611617ecd6acb37f274224062d,51a030b5a150ea7b324b67773cbab8b8,42850,"dias d'avila",BA,2423252b2432f1803e4f29e0974c6cf7,brinquedos,60,919,5,1167,36,20,28,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,credit_card,1,1,139.9,29.38,33.12,"2017-11-02 22:55:10","2017-10-26 22:41:09","2017-10-26 22:55:10","2017-10-31 16:37:36","2017-11-07 22:04:51","2017-11-22 00:00:00",Thursday,October,2017,October-2017,delivered,8fc1991bfbb78b4d939d11ffef79c398-1
34,b8ed227712b7665deac44bd9a5fc6a6f,1,877574fdbff3531c20422802a8580662,1d145be1c3df4da98204434d49bf4877,29510,celina,ES,2423252b2432f1803e4f29e0974c6cf7,brinquedos,60,919,5,1167,36,20,28,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,boleto,1,1,139.9,18.23,158.13,"2017-10-10 02:44:01","2017-10-03 16:13:38","2017-10-04 02:44:01","2017-10-13 20:10:03","2017-10-24 09:20:02","2017-11-01 00:00:00",Tuesday,October,2017,October-2017,delivered,b8ed227712b7665deac44bd9a5fc6a6f-1
35,d3037ef55ee7f4d6c892da7493f4912f,1,a92c7dc386e43df776cae3f8c5bc3d25,92e0b708c21b0c3cfb1a3ea8fd807529,22775,"rio de janeiro",RJ,2423252b2432f1803e4f29e0974c6cf7,brinquedos,60,919,5,1167,36,20,28,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,credit_card,1,5,139.9,14.57,154.47,"2017-05-23 16:22:22","2017-05-17 16:12:44","2017-05-17 16:22:22","2017-05-22 14:42:54","2017-05-23 16:57:56","2017-06-06 00:00:00",Wednesday,May,2017,May-2017,delivered,d3037ef55ee7f4d6c892da7493f4912f-1
36,e36361f00e1c093432050d4a52860c8f,1,d9a14369332805c9204ffce41311e330,a3446c44d04e3de440b235e4b632cc57,35120,itanhomi,MG,2423252b2432f1803e4f29e0974c6cf7,brinquedos,60,919,5,1167,36,20,28,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,credit_card,1,3,139.9,18.23,158.13,"2017-10-05 09:24:37","2017-10-01 09:09:22","2017-10-01 09:24:37","2017-10-06 21:12:48","2017-10-16 18:46:42","2017-10-27 00:00:00",Sunday,October,2017,October-2017,delivered,e36361f00e1c093432050d4a52860c8f-1
37,fbf096edf8034d915770443bb21bfad4,1,1a8552b5f5ee891178aecf797f750d6b,f37322563863005595feada30537cac1,95043,"caxias do sul",RS,2423252b2432f1803e4f29e0974c6cf7,brinquedos,60,919,5,1167,36,20,28,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,credit_card,1,2,139.9,21.61,161.51,"2017-04-24 21:10:14","2017-04-17 20:55:31","2017-04-17 21:10:14","2017-04-24 11:52:11","2017-05-05 10:56:07","2017-05-16 00:00:00",Monday,April,2017,April-2017,delivered,fbf096edf8034d915770443bb21bfad4-1
38,0c325ea6925de749e1420be0cf43587c,1,e03505278b34146e87c0b4eb41e4f082,c082f4437360e3466068035e94a3345b,18540,"porto feliz",SP,3a135477bf41350a0b1d8afdf616d446,brinquedos,56,928,3,600,52,9,19,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,credit_card,1,1,139.9,16.74,156.64,"2017-07-06 15:43:50","2017-07-01 15:27:23","2017-07-01 15:43:50","2017-07-05 12:00:33","2017-07-10 17:17:21","2017-07-25 00:00:00",Saturday,July,2017,July-2017,delivered,0c325ea6925de749e1420be0cf43587c-1
39,54f17a6fb99f59adc37b22166a7f1871,1,1d590938091b67588c7e578dd4e10ca2,82e63aead54e127900e93729dca4f2e1,13550,analandia,SP,3a135477bf41350a0b1d8afdf616d446,brinquedos,56,928,3,600,52,9,19,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,boleto,1,1,185.03,20.49,205.52,"2018-06-29 05:12:51","2018-06-24 06:58:28","2018-06-26 05:12:51","2018-06-27 10:10:00","2018-07-03 23:05:12","2018-07-20 00:00:00",Sunday,June,2018,June-2018,delivered,54f17a6fb99f59adc37b22166a7f1871-1
40,a45087c16cf11897252052baabb332c0,1,44c788d8ffa07a4963c9b8bd8017d151,f672d4ae866d742fc72d3b4c4d2cf23d,4119,"sao paulo",SP,3a135477bf41350a0b1d8afdf616d446,brinquedos,56,928,3,600,52,9,19,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,credit_card,1,3,149.9,16.81,166.71,"2017-09-07 21:50:24","2017-09-02 21:36:53","2017-09-02 21:50:24","2017-09-06 16:47:35","2017-09-11 19:45:46","2017-09-22 00:00:00",Saturday,September,2017,September-2017,delivered,a45087c16cf11897252052baabb332c0-1
41,f2664c7a8066f3a82b36c7c8f916eab4,1,ad5f23d9b1bace5cd40bb06d67f0f58f,1c989fec2674afd38218559043392974,47810,barreiras,BA,3a135477bf41350a0b1d8afdf616d446,brinquedos,56,928,3,600,52,9,19,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,credit_card,1,5,144.9,27.55,172.45,"2017-08-09 21:05:18","2017-08-04 20:50:47","2017-08-04 21:05:18","2017-08-07 20:32:47","2017-08-23 18:57:39","2017-09-01 00:00:00",Friday,August,2017,August-2017,delivered,f2664c7a8066f3a82b36c7c8f916eab4-1
42,f9c50aff44ed91808d5b511bd49106ec,1,7beb7eb7d52421653db44718ee4e3e04,af59ff749e92b5cca826883683b7b63e,24430,"sao goncalo",RJ,3a135477bf41350a0b1d8afdf616d446,brinquedos,56,928,3,600,52,9,19,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,boleto,1,1,149.9,10.46,160.36,"2017-08-23 15:50:16","2017-08-17 13:34:55","2017-08-17 15:50:16","2017-08-21 16:16:52","2017-08-23 20:31:48","2017-09-01 00:00:00",Thursday,August,2017,August-2017,delivered,f9c50aff44ed91808d5b511bd49106ec-1
43,122e2899f5b25c99d52cece91999b676,1,f3df5c58c90ca274dfeb4c9bc6e62c92,6727b0932d03a7dd420b9ddffcc51257,89711,concordia,SC,c03d44fcdfabbabd5185c8eb60f77aea,cool_stuff,55,781,2,500,27,10,15,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,boleto,1,1,48.9,17.92,66.82,"2017-08-22 03:24:57","2017-08-14 20:28:35","2017-08-16 03:24:57","2017-08-21 16:27:51","2017-08-28 20:07:47","2017-09-08 00:00:00",Monday,August,2017,August-2017,delivered,122e2899f5b25c99d52cece91999b676-1
